interatomic distance(nm), energy(K), force(nN), time elapsed
0.371448605351, -125.141925426017, -28.860948964464, 0.0507
0.371428124782, -125.135997741077, -29.025020482965, 0.0510
0.371408951999, -125.130418099389, -29.178780208837, 0.0513
0.371391093930, -125.125194534105, -29.322139980188, 0.0516
0.371374557034, -125.120334577193, -29.455017376708, 0.0519
0.371359347299, -125.115845246231, -29.577335813709, 0.0522
0.371345470236, -125.111733032071, -29.689024629852, 0.0525
0.371332930877, -125.108003887395, -29.790019168376, 0.0528
0.371321733773, -125.104663216200, -29.880260851667, 0.0531
0.371311882990, -125.101715864227, -29.959697249011, 0.0534
0.371303382106, -125.099166110368, -30.028282137411, 0.0537
0.371296234213, -125.097017659060, -30.085975555314, 0.0540
0.371290441910, -125.095273633695, -30.132743849165, 0.0543
0.371286007304, -125.093936571052, -30.168559712672, 0.0546
0.371282932008, -125.093008416775, -30.193402218722, 0.0549
0.371281217144, -125.092490521901, -30.207256843860, 0.0552
0.371280863333, -125.092383640442, -30.210115485293, 0.0555
0.371281870706, -125.092687928041, -30.201976470383, 0.0558
0.371284238896, -125.093402941694, -30.182844558608, 0.0561
0.371287967041, -125.094527640542, -30.152730935989, 0.0564
0.371293053785, -125.096060387728, -30.111653201980, 0.0567
0.371299497275, -125.097998953321, -30.059635348881, 0.0570
0.371307295170, -125.100340518294, -29.996707733776, 0.0573
0.371316444633, -125.103081679554, -29.922907043086, 0.0576
0.371326942340, -125.106218455996, -29.838276249794, 0.0579
0.371338784477, -125.109746295584, -29.742864563435, 0.0582
0.371351966745, -125.113660083438, -29.636727372953, 0.0585
0.371366484364, -125.117954150894, -29.519926182540, 0.0588
0.371382332069, -125.122622285530, -29.392528540593, 0.0591
0.371399504121, -125.127657742138, -29.254607961930, 0.0594
0.371417994306, -125.133053254590, -29.106243843421, 0.0597
0.371437795939, -125.138801048601, -28.947521373210, 0.0600
0.371458901869, -125.144892855341, -28.778531433704, 0.0603
0.371481304482, -125.151319925862, -28.599370498531, 0.0606
0.371504995705, -125.158073046321, -28.410140523658, 0.0609
0.371529967013, -125.165142553949, -28.210948832908, 0.0612
0.371556209430, -125.172518353731, -28.001907998068, 0.0615
0.371583713539, -125.180189935772, -27.783135713860, 0.0618
0.371612469482, -125.188146393288, -27.554754667979, 0.0621
0.371642466969, -125.196376441199, -27.316892406484, 0.0624
0.371673695283, -125.204868435274, -27.069681194765, 0.0627
0.371706143285, -125.213610391784, -26.813257874381, 0.0630
0.371739799423, -125.222590007624, -26.547763716010, 0.0633
0.371774651733, -125.231794680854, -26.273344268802, 0.0636
0.371810687853, -125.241211531624, -25.990149206406, 0.0639
0.371847895021, -125.250827423423, -25.698332169951, 0.0642
0.371886260090, -125.260628984624, -25.398050608261, 0.0645
0.371925769530, -125.270602630257, -25.089465615592, 0.0648
0.371966409437, -125.280734583993, -24.772741767182, 0.0651
0.372008165541, -125.291010900269, -24.448046952884, 0.0654
0.372051023213, -125.301417486517, -24.115552209177, 0.0657
0.372094967471, -125.311940125459, -23.775431549842, 0.0660
0.372139982990, -125.322564497414, -23.427861795575, 0.0663
0.372186054111, -125.333276202578, -23.073022402822, 0.0666
0.372233164846, -125.344060783236, -22.711095292112, 0.0669
0.372281298887, -125.354903745851, -22.342264676157, 0.0672
0.372330439617, -125.365790583018, -21.966716887986, 0.0675
0.372380570113, -125.376706795202, -21.584640209386, 0.0678
0.372431673162, -125.387637912258, -21.196224699888, 0.0681
0.372483731263, -125.398569514673, -20.801662026566, 0.0684
0.372536726637, -125.409487254503, -20.401145294888, 0.0687
0.372590641240, -125.420376875963, -19.994868880847, 0.0690
0.372645456764, -125.431224235646, -19.583028264623, 0.0693
0.372701154656, -125.442015322328, -19.165819865973, 0.0696
0.372757716115, -125.452736276332, -18.743440881583, 0.0699
0.372815122112, -125.463373408427, -18.316089124576, 0.0702
0.372873353391, -125.473913218226, -17.883962866380, 0.0705
0.372932390482, -125.484342412063, -17.447260681137, 0.0708
0.372992213708, -125.494647920322, -17.006181292836, 0.0711
0.373052803197, -125.504816914191, -16.560923425337, 0.0714
0.373114138885, -125.514836821835, -16.111685655448, 0.0717
0.373176200532, -125.524695343951, -15.658666269205, 0.0720
0.373238967727, -125.534380468693, -15.202063121484, 0.0723
0.373302419895, -125.543880485962, -14.742073499096, 0.0726
0.373366536312, -125.553184001032, -14.278893987470, 0.0729
0.373431296108, -125.562279947507, -13.812720341030, 0.0732
0.373496678278, -125.571157599600, -13.343747357388, 0.0735
0.373562661692, -125.579806583718, -12.872168755424, 0.0738
0.373629225103, -125.588216889356, -12.398177057340, 0.0741
0.373696347152, -125.596378879286, -11.921963474761, 0.0744
